service_id,salon_id,name,description,treatment_type,leadtimeminutes,multioptionselectionallowed,updated,package,minimumclientage,currency_code,service_price,discount_percentage
8519,3563,Natural Thai Facial,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,Facial,60,FALSE,2021-07-07T11:51:14.770907Z,FALSE,16,EUR,19.63,0.25
8492,2407,CACI Facial Treatment,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Facial,60,TRUE,2021-07-07T11:51:14.776017Z,TRUE,16,EUR,5.72,
8557,1389,Elemis Cooling Hot Stone Body Facial,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",Facial,90,FALSE,2021-07-07T11:51:14.828948Z,TRUE,4,EUR,3.51,0.5
8566,1290,Elemis CoolingHot Stone Body Facial,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Facial,360,FALSE,2021-07-07T11:51:14.862222Z,TRUE,12,EUR,6.58,
8563,1446,Haircut and Set,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Hair,90,TRUE,2021-07-07T11:51:14.908592Z,TRUE,4,EUR,62.56,0.2
8502,1999,Haircuts and Hairdressing,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",Hair,360,TRUE,2021-07-07T11:51:15.019231Z,FALSE,,EUR,13.42,0.25
8562,3655,Men's Haircut,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",Hair,60,TRUE,2021-07-07T11:51:15.020199Z,FALSE,,EUR,87.02,
8564,811,Restyle Shampoo & Haircut,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",Hair,360,TRUE,2021-07-07T11:51:15.023566Z,TRUE,,EUR,38.56,0.15
8554,1401,Haircuts and Hairdressing,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",Hair,90,FALSE,2021-07-07T11:51:15.027593Z,TRUE,18,GBP,40.5,0.5
8493,1650,Ladies' Haircut & Blow Dry,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",Hair,90,TRUE,2021-07-07T11:51:18.062581Z,TRUE,16,GBP,67.03,
8484,3248,"Ladies' Wash, Haircut & Blow Dry","Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Hair,60,FALSE,2021-07-07T11:51:18.121779Z,FALSE,18,EUR,99.14,0.25
8498,3313,Crystal Clear Hand Rejuvenation,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",Manicure,60,TRUE,2021-07-07T11:51:18.216913Z,FALSE,,CHF,68.15,0.1
8459,1265,Manicure Treatments,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,Manicure,60,TRUE,2021-07-07T11:51:18.246852Z,TRUE,18,EUR,37.57,0.5
8516,965,Luxury Runway Manicure,Phasellus in felis. Donec semper sapien a libero. Nam dui.,Manicure,360,TRUE,2021-07-07T11:51:18.266409Z,TRUE,18,EUR,85.34,
8521,1584,Gel Overlay Manicure,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",Manicure,360,FALSE,2021-07-07T11:51:18.279032Z,FALSE,,EUR,11.75,
